window_size = 1, 257, 262, 268, 258, 258, 259, 262, 263, 262, 267, 264, 262, 260, 264, 269, 265, 265, 263, 260, 264, 265, 267, 268, 262, 259, 262, 258, 263, 267, 264, 264, 269, 269, 264, 267, 263, 265, 262, 260, 259, 267, 262, 260, 260, 260, 260, 259, 264, 262, 261, 259, 261, 263, 266, 269, 269, 266, 270, 266, 265, 272, 266, 277, 263, 265, 266, 268, 266, 266, 264, 272, 269, 266, 264, 265, 265, 262, 272, 265, 268, 266, 265, 264, 268, 267, 269, 265, 262, 261, 261, 261, 260, 266, 260, 259, 263, 267, 266, 267, 266, 
window_size = 3, 271, 73, 74, 73, 77, 76, 77, 81, 78, 81, 76, 73, 72, 74, 79, 79, 77, 78, 86, 83, 85, 80, 86, 86, 79, 81, 87, 82, 78, 76, 80, 78, 80, 79, 76, 80, 80, 84, 77, 76, 77, 80, 79, 73, 74, 79, 82, 84, 77, 77, 82, 84, 84, 72, 73, 74, 81, 77, 75, 86, 80, 72, 83, 87, 81, 81, 82, 81, 82, 81, 80, 81, 78, 88, 89, 84, 87, 85, 79, 81, 74, 80, 77, 74, 77, 82, 89, 90, 88, 90, 80, 86, 81, 78, 73, 78, 75, 81, 76, 77, 
window_size = 5, 72, 48, 53, 48, 51, 52, 51, 59, 56, 55, 51, 57, 61, 52, 49, 53, 55, 55, 53, 59, 52, 50, 52, 48, 51, 49, 52, 60, 51, 50, 50, 43, 54, 50, 52, 53, 47, 56, 54, 52, 52, 54, 57, 47, 59, 53, 55, 56, 54, 58, 51, 57, 53, 51, 52, 54, 54, 58, 54, 52, 51, 52, 51, 51, 55, 59, 58, 51, 61, 54, 49, 48, 57, 55, 55, 55, 58, 57, 58, 60, 50, 53, 47, 62, 50, 54, 51, 67, 56, 50, 53, 52, 56, 49, 51, 56, 59, 55, 52, 53, 
window_size = 7, 49, 36, 43, 35, 36, 33, 43, 31, 36, 35, 37, 29, 29, 40, 27, 40, 41, 33, 40, 40, 40, 42, 31, 34, 38, 38, 45, 45, 48, 42, 35, 40, 42, 39, 33, 40, 38, 38, 40, 35, 36, 40, 36, 39, 44, 43, 42, 42, 29, 31, 31, 34, 42, 39, 44, 42, 43, 34, 41, 30, 36, 31, 44, 33, 35, 37, 38, 39, 39, 43, 38, 43, 41, 43, 47, 43, 41, 42, 40, 33, 40, 31, 31, 31, 34, 40, 40, 30, 33, 38, 41, 35, 41, 34, 39, 38, 37, 35, 36, 39, 
window_size = 9, 42, 32, 35, 19, 29, 18, 31, 30, 31, 28, 28, 28, 29, 32, 22, 30, 22, 21, 30, 30, 31, 32, 27, 27, 25, 28, 29, 30, 32, 32, 25, 19, 28, 28, 30, 29, 29, 29, 33, 32, 21, 25, 29, 29, 32, 29, 28, 30, 22, 31, 31, 31, 27, 28, 25, 35, 30, 29, 19, 33, 29, 21, 27, 27, 26, 26, 26, 29, 35, 26, 30, 18, 17, 30, 40, 27, 28, 32, 35, 25, 30, 18, 29, 31, 33, 19, 28, 26, 26, 31, 32, 29, 29, 29, 29, 30, 19, 30, 30, 28, 
window_size = 11, 29, 23, 15, 23, 24, 22, 21, 21, 22, 20, 19, 21, 23, 23, 23, 23, 21, 22, 23, 26, 11, 26, 9, 13, 22, 21, 21, 23, 22, 20, 22, 24, 21, 21, 23, 23, 20, 22, 23, 21, 22, 22, 13, 24, 23, 22, 23, 24, 24, 24, 24, 22, 11, 12, 14, 12, 13, 25, 24, 24, 24, 22, 23, 23, 13, 23, 23, 25, 14, 21, 22, 21, 20, 19, 20, 20, 18, 19, 18, 21, 23, 25, 26, 14, 27, 13, 21, 22, 21, 10, 21, 22, 10, 22, 25, 24, 23, 23, 25, 14, 
window_size = 13, 23, 15, 17, 18, 18, 20, 7, 6, 17, 6, 5, 18, 17, 18, 8, 7, 19, 17, 17, 18, 5, 21, 21, 6, 19, 4, 6, 4, 6, 5, 4, 8, 17, 17, 17, 16, 18, 9, 17, 15, 7, 19, 8, 7, 5, 17, 15, 17, 18, 18, 18, 18, 20, 20, 19, 19, 6, 5, 4, 5, 4, 5, 5, 18, 17, 17, 16, 17, 17, 6, 6, 7, 19, 19, 18, 20, 18, 19, 19, 5, 16, 17, 17, 18, 20, 4, 17, 17, 17, 19, 18, 17, 17, 17, 16, 17, 17, 16, 19, 19, 
window_size = 15, 18, 15, 14, 15, 13, 14, 15, 13, 13, 13, 15, 15, 15, 15, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 18, 18, 18, 18, 18, 15, 15, 13, 3, 14, 6, 16, 14, 15, 17, 18, 15, 15, 15, 14, 15, 15, 16, 15, 15, 17, 15, 16, 15, 14, 15, 13, 13, 15, 3, 15, 15, 15, 16, 4, 15, 3, 15, 14, 15, 14, 15, 15, 15, 17, 15, 16, 15, 15, 13, 3, 13, 14, 15, 5, 15, 15, 3, 16, 15, 3, 14, 15, 15, 15, 4, 15, 3, 2, 15, 15, 
window_size = 17, 15, 12, 11, 12, 12, 11, 11, 13, 13, 13, 13, 13, 15, 14, 0, 13, 12, 13, 0, 13, 13, 15, 13, 13, 13, 13, 11, 1, 0, 11, 11, 13, 13, 13, 0, 4, 2, 0, 14, 13, 13, 13, 12, 12, 11, 13, 12, 1, 11, 13, 13, 13, 3, 16, 13, 5, 4, 13, 13, 12, 12, 11, 13, 0, 13, 13, 13, 2, 13, 12, 1, 13, 13, 2, 13, 13, 11, 13, 13, 13, 16, 16, 13, 13, 15, 15, 13, 13, 12, 13, 11, 13, 13, 13, 15, 13, 15, 0, 13, 12, 
window_size = 19, 11, 0, 0, 10, 9, 11, 11, 11, 14, 0, 13, 0, 11, 11, 10, 11, 10, 11, 11, 14, 14, 12, 0, 1, 10, 10, 9, 11, 0, 10, 9, 11, 11, 11, 11, 14, 1, 0, 11, 0, 0, 2, 10, 11, 11, 11, 11, 11, 0, 11, 11, 0, 11, 0, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 1, 11, 11, 11, 13, 0, 0, 0, 2, 11, 11, 11, 11, 11, 11, 10, 0, 10, 11, 11, 11, 14, 11, 0, 2, 11, 11, 11, 11, 11, 11, 10, 
